Hari;Lama_menginap;Tanggal;Bulan;Tahun;Jenis Kamar;Harga;Demand
Weekend;3;14;6;2020;Standard Queen Room;634;7
Weekend;1;3;11;2019;Standard Queen Room;570;63
Weekend;1;2;11;2019;Standard Queen Room;570;63
Weekend;1;19;10;2019;Standard Queen Room;570;63
Weekend;1;12;10;2019;Standard Queen Room;570;63
Weekend;1;5;10;2019;Standard Queen Room;570;63
Weekend;1;22;9;2019;Standard Queen Room;570;63
Weekend;1;15;9;2019;Standard Queen Room;570;63
Weekend;1;7;9;2019;Standard Queen Room;570;63
Weekend;1;1;9;2019;Standard Queen Room;570;63
Weekend;1;25;8;2019;Standard Queen Room;570;63
Weekend;1;17;8;2019;Standard Queen Room;570;63
Weekend;1;17;8;2019;Standard Queen Room;570;63
Weekend;1;17;8;2019;Standard Queen Room;570;63
Weekend;1;11;8;2019;Standard Queen Room;570;63
Weekend;1;10;8;2019;Standard Queen Room;570;63
Weekend;1;28;7;2019;Standard Queen Room;570;63
Weekend;1;27;7;2019;Standard Queen Room;570;63
Weekend;1;13;7;2019;Standard Queen Room;570;63
Weekend;1;7;7;2019;Standard Queen Room;570;63
Weekend;1;30;6;2019;Standard Queen Room;570;63
Weekend;1;29;6;2019;Standard Queen Room;570;63
Weekend;1;16;6;2019;Standard Queen Room;570;63
Weekend;1;9;6;2019;Standard Queen Room;570;63
Weekend;1;2;6;2019;Standard Queen Room;570;63
Weekend;1;12;5;2019;Standard Queen Room;570;63
Weekend;1;11;5;2019;Standard Queen Room;570;63
Weekend;1;14;4;2019;Standard Queen Room;570;63
Weekend;1;13;4;2019;Standard Queen Room;570;63
Weekend;1;7;4;2019;Standard Queen Room;570;63
Weekend;1;6;4;2019;Standard Queen Room;570;63
Weekend;1;16;3;2019;Standard Queen Room;570;63
Weekend;1;2;3;2019;Standard Queen Room;570;63
Weekend;1;23;2;2019;Standard Queen Room;570;63
Weekend;1;17;2;2019;Standard Queen Room;570;63
Weekend;1;27;1;2019;Standard Queen Room;570;63
Weekend;1;19;1;2019;Standard Queen Room;570;63
Weekend;1;6;1;2019;Standard Queen Room;570;63
Weekend;1;5;1;2019;Standard Queen Room;570;63
Weekend;2;3;11;2019;Standard Queen Room;570;63
Weekend;2;27;10;2019;Standard Queen Room;570;63
Weekend;2;20;10;2019;Standard Queen Room;570;63
Weekend;2;13;10;2019;Standard Queen Room;570;63
Weekend;2;13;10;2019;Standard Queen Room;570;63
Weekend;2;12;10;2019;Standard Queen Room;570;63
Weekend;2;28;9;2019;Standard Queen Room;570;63
Weekend;2;15;3;2019;Standard Queen Room;570;63
Weekend;3;2;11;2019;Standard Queen Room;570;63
Weekend;3;20;10;2019;Standard Queen Room;570;63
Weekend;3;12;10;2019;Standard Queen Room;570;63
Weekend;1;9;3;2019;Standard Twin Room;570;7
Weekend;1;3;3;2019;Standard Twin Room;570;7
Weekend;1;16;2;2019;Standard Twin Room;570;7
Weekend;1;20;1;2019;Standard Twin Room;570;7
Weekend;3;9;3;2019;Standard Twin Room;570;7
Weekend;1;17;10;2020;Standard Queen Room;514;4
Weekend;1;11;10;2020;Standard Queen Room;514;4
Weekend;1;4;10;2020;Standard Queen Room;514;4
Weekend;1;26;7;2020;Standard Queen Room;514;4
Weekend;1;1;11;2020;Standard Queen Room;511;7
Weekend;1;1;11;2020;Standard Queen Room;511;7
Weekend;1;6;9;2020;Standard Queen Room;511;7
Weekend;1;6;9;2020;Standard Queen Room;511;7
Weekend;1;6;9;2020;Standard Queen Room;511;7
Weekend;1;5;7;2020;Standard Queen Room;511;7
Weekend;1;4;7;2020;Standard Queen Room;511;7
Weekend;1;5;7;2020;Standard Twin Room;511;1
Weekend;1;2;8;2020;Standard Queen Room;510;5
Weekend;1;1;8;2020;Standard Queen Room;510;5
Weekend;1;1;8;2020;Standard Queen Room;510;5
Weekend;2;2;8;2020;Standard Queen Room;510;5
Weekend;2;1;8;2020;Standard Twin Room;510;2
Weekday;1;12;6;2020;Standard Queen Room;504;7
Weekday;1;11;6;2020;Standard Queen Room;504;7
Weekday;1;15;5;2020;Standard Queen Room;504;7
Weekday;2;14;5;2020;Standard Queen Room;504;7
Weekday;2;8;5;2020;Standard Queen Room;504;7
Weekday;1;10;6;2020;Standard Twin Room;504;5
Weekday;1;9;6;2020;Standard Twin Room;504;5
Weekday;1;8;6;2020;Standard Twin Room;504;5
Weekday;2;8;6;2020;Standard Twin Room;504;5
Weekend;1;29;11;2020;Standard Queen Room;502;18
Weekend;1;18;7;2020;Standard Queen Room;502;18
Weekend;1;28;6;2020;Standard Queen Room;502;18
Weekend;1;27;6;2020;Standard Queen Room;502;18
Weekend;1;21;6;2020;Standard Queen Room;502;18
Weekend;1;20;6;2020;Standard Queen Room;502;18
Weekend;2;19;7;2020;Standard Queen Room;502;18
Weekend;2;19;7;2020;Standard Queen Room;502;18
Weekend;2;18;7;2020;Standard Queen Room;502;18
Weekend;2;21;6;2020;Standard Queen Room;502;18
Weekend;2;15;3;2020;Standard Queen Room;502;18
Weekend;2;14;3;2020;Standard Queen Room;502;18
Weekday;1;7;8;2020;Standard Queen Room;502;17
Weekday;1;6;8;2020;Standard Queen Room;502;17
Weekday;1;6;8;2020;Standard Queen Room;502;17
Weekday;1;6;8;2020;Standard Queen Room;502;17
Weekday;1;5;8;2020;Standard Queen Room;502;17
Weekday;1;4;8;2020;Standard Queen Room;502;17
Weekday;2;7;8;2020;Standard Queen Room;502;17
Weekday;2;5;8;2020;Standard Queen Room;502;17
Weekday;2;4;8;2020;Standard Queen Room;502;17
Weekday;2;3;8;2020;Standard Queen Room;502;17
Weekday;3;6;8;2020;Standard Queen Room;502;17
Weekend;1;23;11;2019;Standard Queen Room;502;3
Weekend;1;17;11;2019;Standard Queen Room;502;3
Weekend;1;16;11;2019;Standard Queen Room;502;3
Weekend;1;15;11;2020;Standard Queen Room;501;9
Weekend;1;14;11;2020;Standard Queen Room;501;9
Weekend;1;20;9;2020;Standard Queen Room;501;9
Weekend;1;20;9;2020;Standard Queen Room;501;9
Weekend;1;19;9;2020;Standard Queen Room;501;9
Weekend;2;15;11;2020;Standard Queen Room;501;9
Weekend;2;15;11;2020;Standard Queen Room;501;9
Weekend;1;22;11;2020;Standard Queen Room;500;24
Weekend;1;24;10;2020;Standard Queen Room;500;24
Weekend;1;24;10;2020;Standard Queen Room;500;24
Weekend;1;22;8;2020;Standard Queen Room;500;24
Weekend;1;16;8;2020;Standard Queen Room;500;24
Weekend;1;16;8;2020;Standard Queen Room;500;24
Weekend;1;16;8;2020;Standard Queen Room;500;24
Weekend;2;21;11;2020;Standard Queen Room;500;24
Weekend;2;23;8;2020;Standard Queen Room;500;24
Weekend;2;16;8;2020;Standard Queen Room;500;24
Weekend;2;16;8;2020;Standard Queen Room;500;24
Weekend;3;23;8;2020;Standard Queen Room;500;24
Weekend;3;16;8;2020;Standard Queen Room;500;24
Weekend;3;16;8;2020;Standard Queen Room;500;24
Weekend;1;25;10;2020;Standard Twin Room;500;13
Weekend;1;25;10;2020;Standard Twin Room;500;13
Weekend;1;23;8;2020;Standard Twin Room;500;13
Weekend;1;23;8;2020;Standard Twin Room;500;13
Weekend;1;23;8;2020;Standard Twin Room;500;13
Weekend;1;22;8;2020;Standard Twin Room;500;13
Weekend;1;22;8;2020;Standard Twin Room;500;13
Weekend;2;23;8;2020;Standard Twin Room;500;13
Weekend;2;22;8;2020;Standard Twin Room;500;13
Weekend;2;22;8;2020;Standard Twin Room;500;13
Weekday;1;16;10;2020;Standard Queen Room;500;4
Weekday;1;14;10;2020;Standard Queen Room;500;4
Weekday;2;14;10;2020;Standard Queen Room;500;4
Weekday;1;13;10;2020;Standard Twin Room;500;2
Weekday;1;12;10;2020;Standard Twin Room;500;2
Weekend;1;8;11;2020;Standard Queen Room;499;7
Weekend;1;7;11;2020;Standard Queen Room;499;7
Weekend;1;12;9;2020;Standard Queen Room;499;7
Weekend;4;13;9;2020;Standard Queen Room;499;7
Weekend;1;8;11;2020;Standard Twin Room;499;1
Weekend;1;30;8;2020;Standard Queen Room;495;7
Weekend;1;30;8;2020;Standard Queen Room;495;7
Weekend;1;29;8;2020;Standard Queen Room;495;7
Weekend;2;30;8;2020;Standard Queen Room;495;7
Weekend;2;29;8;2020;Standard Queen Room;495;7
Weekend;1;17;5;2020;Standard Queen Room;494;6
Weekend;2;22;5;2020;Standard Queen Room;494;6
Weekend;3;23;5;2020;Standard Queen Room;494;6
Weekend;2;16;5;2020;Standard Twin Room;494;2
Weekday;1;30;10;2020;Standard Queen Room;491;5
Weekday;1;27;10;2020;Standard Queen Room;491;5
Weekday;1;26;10;2020;Standard Queen Room;491;5
Weekday;2;29;10;2020;Standard Queen Room;491;5
Weekday;1;27;10;2020;Standard Twin Room;491;3
Weekday;2;29;10;2020;Standard Twin Room;491;3
Weekend;1;31;10;2020;Standard Queen Room;490;4
Weekend;1;3;5;2020;Standard Queen Room;490;4
Weekend;2;3;5;2020;Standard Queen Room;490;4
Weekend;2;31;10;2020;Standard Twin Room;490;2
Weekend;2;1;3;2020;Standard Queen Room;489;4
Weekend;2;1;3;2020;Standard Queen Room;489;4
Weekday;1;19;8;2020;Standard Queen Room;488;5
Weekday;1;19;8;2020;Standard Queen Room;488;5
Weekday;1;19;8;2020;Standard Queen Room;488;5
Weekday;1;19;8;2020;Standard Queen Room;488;5
Weekday;1;18;8;2020;Standard Queen Room;488;5
Weekday;1;6;5;2020;Standard Queen Room;484;12
Weekday;1;5;5;2020;Standard Queen Room;484;12
Weekday;1;4;5;2020;Standard Queen Room;484;12
Weekday;2;6;5;2020;Standard Queen Room;484;12
Weekday;2;5;5;2020;Standard Queen Room;484;12
Weekday;2;4;5;2020;Standard Queen Room;484;12
Weekday;3;1;5;2020;Standard Queen Room;484;12
Weekday;1;6;7;2020;Standard Queen Room;483;25
Weekday;1;30;6;2020;Standard Queen Room;483;25
Weekday;1;30;6;2020;Standard Queen Room;483;25
Weekday;1;29;6;2020;Standard Queen Room;483;25
Weekday;1;24;6;2020;Standard Queen Room;483;25
Weekday;1;24;6;2020;Standard Queen Room;483;25
Weekday;1;23;6;2020;Standard Queen Room;483;25
Weekday;1;22;6;2020;Standard Queen Room;483;25
Weekday;1;19;6;2020;Standard Queen Room;483;25
Weekday;1;19;6;2020;Standard Queen Room;483;25
Weekday;1;18;6;2020;Standard Queen Room;483;25
Weekday;1;17;6;2020;Standard Queen Room;483;25
Weekday;1;15;6;2020;Standard Queen Room;483;25
Weekday;2;3;7;2020;Standard Queen Room;483;25
Weekday;2;2;7;2020;Standard Queen Room;483;25
Weekday;2;1;7;2020;Standard Queen Room;483;25
Weekday;2;26;6;2020;Standard Queen Room;483;25
Weekday;2;25;6;2020;Standard Queen Room;483;25
Weekday;2;15;6;2020;Standard Queen Room;483;25
Weekend;2;12;1;2020;Standard Queen Room;480;6
Weekend;4;11;1;2020;Standard Queen Room;480;6
Weekend;1;4;4;2020;Standard Queen Room;476;2
Weekend;1;4;4;2020;Standard Queen Room;476;2
Weekday;1;5;3;2020;Standard Queen Room;476;5
Weekday;1;4;3;2020;Standard Queen Room;476;5
Weekday;3;3;3;2020;Standard Queen Room;476;5
Weekend;1;9;8;2020;Standard Queen Room;475;5
Weekend;1;8;8;2020;Standard Queen Room;475;5
Weekend;2;8;8;2020;Standard Queen Room;475;5
Weekend;1;8;8;2020;Standard Twin Room;475;5
Weekend;4;8;8;2020;Standard Twin Room;475;5
Weekday;1;7;4;2020;Standard Queen Room;475;18
Weekday;1;3;4;2020;Standard Queen Room;475;18
Weekday;1;2;4;2020;Standard Queen Room;475;18
Weekday;1;16;3;2020;Standard Queen Room;475;18
Weekday;2;6;4;2020;Standard Queen Room;475;18
Weekday;2;3;4;2020;Standard Queen Room;475;18
Weekday;2;1;4;2020;Standard Queen Room;475;18
Weekday;2;18;3;2020;Standard Queen Room;475;18
Weekday;3;1;4;2020;Standard Queen Room;475;18
Weekday;3;20;3;2020;Standard Queen Room;475;18
Weekday;1;7;10;2020;Standard Queen Room;474;8
Weekday;1;6;10;2020;Standard Queen Room;474;8
Weekday;1;2;10;2020;Standard Queen Room;474;8
Weekday;1;2;10;2020;Standard Queen Room;474;8
Weekday;1;1;10;2020;Standard Queen Room;474;8
Weekday;3;5;10;2020;Standard Queen Room;474;8
Weekday;2;8;10;2020;Standard Queen Room;473;2
Weekday;1;31;8;2020;Standard Queen Room;472;13
Weekday;1;31;8;2020;Standard Queen Room;472;13
Weekday;1;28;8;2020;Standard Queen Room;472;13
Weekday;1;27;8;2020;Standard Queen Room;472;13
Weekday;1;27;8;2020;Standard Queen Room;472;13
Weekday;1;26;8;2020;Standard Queen Room;472;13
Weekday;3;26;8;2020;Standard Queen Room;472;13
Weekday;4;24;8;2020;Standard Queen Room;472;13
Weekday;1;25;8;2020;Standard Twin Room;472;8
Weekday;1;25;8;2020;Standard Twin Room;472;8
Weekday;1;25;8;2020;Standard Twin Room;472;8
Weekday;1;24;8;2020;Standard Twin Room;472;8
Weekday;2;26;8;2020;Standard Twin Room;472;8
Weekday;2;24;8;2020;Standard Twin Room;472;8
Weekend;1;27;9;2020;Standard Twin Room;471;3
Weekend;1;26;9;2020;Standard Twin Room;471;3
Weekend;1;26;9;2020;Standard Twin Room;471;3
Weekday;1;31;7;2020;Standard Queen Room;471;6
Weekday;1;28;7;2020;Standard Queen Room;471;6
Weekday;2;27;7;2020;Standard Queen Room;471;6
Weekday;2;27;7;2020;Standard Queen Room;471;6
Weekday;1;31;7;2020;Standard Twin Room;471;4
Weekday;1;30;7;2020;Standard Twin Room;471;4
Weekday;1;29;7;2020;Standard Twin Room;471;4
Weekday;1;28;7;2020;Standard Twin Room;471;4
Weekend;1;7;6;2020;Standard Queen Room;470;7
Weekend;1;6;6;2020;Standard Queen Room;470;7
Weekend;2;6;6;2020;Standard Queen Room;470;7
Weekend;3;7;6;2020;Standard Queen Room;470;7
Weekday;1;4;6;2020;Standard Queen Room;470;5
Weekday;1;3;6;2020;Standard Queen Room;470;5
Weekday;1;2;6;2020;Standard Queen Room;470;5
Weekday;2;4;6;2020;Standard Queen Room;470;5
Weekday;1;5;6;2020;Standard Twin Room;470;2
Weekday;1;4;6;2020;Standard Twin Room;470;2
Weekday;1;20;10;2020;Family Room;468;1
Weekday;1;6;11;2020;Standard Queen Room;468;52
Weekday;1;4;11;2020;Standard Queen Room;468;52
Weekday;1;4;11;2020;Standard Queen Room;468;52
Weekday;1;4;11;2020;Standard Queen Room;468;52
Weekday;1;3;11;2020;Standard Queen Room;468;52
Weekday;1;3;11;2020;Standard Queen Room;468;52
Weekday;1;2;11;2020;Standard Queen Room;468;52
Weekday;1;23;10;2020;Standard Queen Room;468;52
Weekday;1;22;10;2020;Standard Queen Room;468;52
Weekday;1;22;10;2020;Standard Queen Room;468;52
Weekday;1;21;10;2020;Standard Queen Room;468;52
Weekday;1;21;10;2020;Standard Queen Room;468;52
Weekday;1;20;10;2020;Standard Queen Room;468;52
Weekday;1;20;10;2020;Standard Queen Room;468;52
Weekday;1;20;10;2020;Standard Queen Room;468;52
Weekday;1;19;10;2020;Standard Queen Room;468;52
Weekday;1;7;9;2020;Standard Queen Room;468;52
Weekday;1;4;9;2020;Standard Queen Room;468;52
Weekday;1;1;9;2020;Standard Queen Room;468;52
Weekday;1;1;9;2020;Standard Queen Room;468;52
Weekday;1;14;8;2020;Standard Queen Room;468;52
Weekday;1;13;8;2020;Standard Queen Room;468;52
Weekday;1;13;8;2020;Standard Queen Room;468;52
Weekday;1;13;8;2020;Standard Queen Room;468;52
Weekday;1;13;8;2020;Standard Queen Room;468;52
Weekday;1;13;8;2020;Standard Queen Room;468;52
Weekday;1;13;8;2020;Standard Queen Room;468;52
Weekday;1;12;8;2020;Standard Queen Room;468;52
Weekday;1;11;8;2020;Standard Queen Room;468;52
Weekday;1;11;8;2020;Standard Queen Room;468;52
Weekday;1;11;8;2020;Standard Queen Room;468;52
Weekday;2;6;11;2020;Standard Queen Room;468;52
Weekday;2;2;11;2020;Standard Queen Room;468;52
Weekday;2;23;10;2020;Standard Queen Room;468;52
Weekday;2;20;10;2020;Standard Queen Room;468;52
Weekday;2;11;8;2020;Standard Queen Room;468;52
Weekday;2;11;8;2020;Standard Queen Room;468;52
Weekday;3;20;10;2020;Standard Queen Room;468;52
Weekday;3;12;8;2020;Standard Queen Room;468;52
Weekday;3;10;8;2020;Standard Queen Room;468;52
Weekday;1;5;11;2020;Standard Twin Room;468;32
Weekday;1;23;10;2020;Standard Twin Room;468;32
Weekday;1;22;10;2020;Standard Twin Room;468;32
Weekday;1;7;9;2020;Standard Twin Room;468;32
Weekday;1;4;9;2020;Standard Twin Room;468;32
Weekday;1;4;9;2020;Standard Twin Room;468;32
Weekday;1;3;9;2020;Standard Twin Room;468;32
Weekday;1;3;9;2020;Standard Twin Room;468;32
Weekday;1;2;9;2020;Standard Twin Room;468;32
Weekday;1;2;9;2020;Standard Twin Room;468;32
Weekday;1;1;9;2020;Standard Twin Room;468;32
Weekday;1;1;9;2020;Standard Twin Room;468;32
Weekday;1;1;9;2020;Standard Twin Room;468;32
Weekday;1;13;8;2020;Standard Twin Room;468;32
Weekday;1;13;8;2020;Standard Twin Room;468;32
Weekday;1;13;8;2020;Standard Twin Room;468;32
Weekday;1;13;8;2020;Standard Twin Room;468;32
Weekday;1;13;8;2020;Standard Twin Room;468;32
Weekday;1;12;8;2020;Standard Twin Room;468;32
Weekday;1;12;8;2020;Standard Twin Room;468;32
Weekday;1;11;8;2020;Standard Twin Room;468;32
Weekday;1;10;8;2020;Standard Twin Room;468;32
Weekday;1;10;8;2020;Standard Twin Room;468;32
Weekday;2;6;11;2020;Standard Twin Room;468;32
Weekday;2;5;11;2020;Standard Twin Room;468;32
Weekday;2;2;9;2020;Standard Twin Room;468;32
Weekday;3;13;8;2020;Standard Twin Room;468;32
Weekday;1;16;1;2020;Standard Queen Room;467;6
Weekday;1;15;1;2020;Standard Queen Room;467;6
Weekday;1;15;1;2020;Standard Queen Room;467;6
Weekday;1;13;1;2020;Standard Queen Room;467;6
Weekday;1;13;1;2020;Standard Queen Room;467;6
Weekday;1;13;1;2020;Standard Queen Room;467;6
Weekend;1;26;4;2020;Standard Queen Room;465;4
Weekend;1;25;4;2020;Standard Queen Room;465;4
Weekend;2;25;4;2020;Standard Queen Room;465;4
Weekday;1;25;11;2020;Standard Queen Room;465;24
Weekday;1;25;11;2020;Standard Queen Room;465;24
Weekday;1;23;11;2020;Standard Queen Room;465;24
Weekday;1;12;11;2020;Standard Queen Room;465;24
Weekday;1;11;11;2020;Standard Queen Room;465;24
Weekday;1;10;11;2020;Standard Queen Room;465;24
Weekday;1;18;9;2020;Standard Queen Room;465;24
Weekday;1;17;9;2020;Standard Queen Room;465;24
Weekday;1;11;9;2020;Standard Queen Room;465;24
Weekday;1;10;9;2020;Standard Queen Room;465;24
Weekday;1;10;9;2020;Standard Queen Room;465;24
Weekday;1;8;9;2020;Standard Queen Room;465;24
Weekday;1;25;11;2020;Standard Queen Room;465;24
Weekday;1;18;11;2020;Standard Queen Room;465;24
Weekday;2;27;11;2020;Standard Queen Room;465;24
Weekday;2;23;11;2020;Standard Queen Room;465;24
Weekday;2;10;11;2020;Standard Queen Room;465;24
Weekday;2;18;9;2020;Standard Queen Room;465;24
Weekday;2;8;9;2020;Standard Queen Room;465;24
Weekday;3;10;9;2020;Standard Queen Room;465;24
Weekday;3;9;9;2020;Standard Queen Room;465;24
Weekday;1;9;11;2020;Standard Twin Room;465;16
Weekday;1;9;11;2020;Standard Twin Room;465;16
Weekday;1;17;9;2020;Standard Twin Room;465;16
Weekday;1;11;9;2020;Standard Twin Room;465;16
Weekday;1;9;9;2020;Standard Twin Room;465;16
Weekday;1;9;9;2020;Standard Twin Room;465;16
Weekday;1;8;9;2020;Standard Twin Room;465;16
Weekday;1;8;9;2020;Standard Twin Room;465;16
Weekday;1;8;9;2020;Standard Twin Room;465;16
Weekday;1;8;9;2020;Standard Twin Room;465;16
Weekday;2;15;9;2020;Standard Twin Room;465;16
Weekday;4;9;9;2020;Standard Twin Room;465;16
Weekday;2;25;11;2019;Standard Queen Room;465;2
Weekday;1;21;7;2020;Standard Queen Room;464;11
Weekday;1;17;7;2020;Standard Queen Room;464;11
Weekday;1;16;7;2020;Standard Queen Room;464;11
Weekday;1;15;7;2020;Standard Queen Room;464;11
Weekday;2;23;7;2020;Standard Queen Room;464;11
Weekday;2;20;7;2020;Standard Queen Room;464;11
Weekday;3;24;7;2020;Standard Queen Room;464;11
Weekday;1;22;7;2020;Standard Twin Room;464;3
Weekday;2;15;7;2020;Standard Twin Room;464;3
Weekend;2;19;1;2020;Standard Queen Room;464;2
Weekday;1;16;11;2020;Standard Queen Room;462;8
Weekday;1;22;9;2020;Standard Queen Room;462;8
Weekday;1;21;9;2020;Standard Queen Room;462;8
Weekday;1;21;9;2020;Standard Queen Room;462;8
Weekday;2;19;11;2020;Standard Queen Room;462;8
Weekday;2;16;11;2020;Standard Queen Room;462;8
Weekday;1;14;7;2020;Standard Queen Room;461;11
Weekday;1;14;7;2020;Standard Queen Room;461;11
Weekday;1;10;7;2020;Standard Queen Room;461;11
Weekday;1;10;7;2020;Standard Queen Room;461;11
Weekday;1;9;7;2020;Standard Queen Room;461;11
Weekday;1;9;7;2020;Standard Queen Room;461;11
Weekday;1;8;7;2020;Standard Queen Room;461;11
Weekday;2;13;7;2020;Standard Queen Room;461;11
Weekday;2;13;7;2020;Standard Queen Room;461;11
Weekday;1;13;7;2020;Standard Twin Room;461;2
Weekday;1;10;7;2020;Standard Twin Room;461;2
Weekday;1;15;11;2019;Standard Queen Room;461;166
Weekday;1;12;11;2019;Standard Queen Room;461;166
Weekday;1;12;11;2019;Standard Queen Room;461;166
Weekday;1;11;11;2019;Standard Queen Room;461;166
Weekday;1;11;11;2019;Standard Queen Room;461;166
Weekday;1;11;11;2019;Standard Queen Room;461;166
Weekday;1;8;11;2019;Standard Queen Room;461;166
Weekday;1;5;11;2019;Standard Queen Room;461;166
Weekday;1;4;11;2019;Standard Queen Room;461;166
Weekday;1;4;11;2019;Standard Queen Room;461;166
Weekday;1;1;11;2019;Standard Queen Room;461;166
Weekday;1;30;10;2019;Standard Queen Room;461;166
Weekday;1;30;10;2019;Standard Queen Room;461;166
Weekday;1;28;10;2019;Standard Queen Room;461;166
Weekday;1;28;10;2019;Standard Queen Room;461;166
Weekday;1;28;10;2019;Standard Queen Room;461;166
Weekday;1;23;10;2019;Standard Queen Room;461;166
Weekday;1;22;10;2019;Standard Queen Room;461;166
Weekday;1;21;10;2019;Standard Queen Room;461;166
Weekday;1;21;10;2019;Standard Queen Room;461;166
Weekday;1;11;10;2019;Standard Queen Room;461;166
Weekday;1;4;10;2019;Standard Queen Room;461;166
Weekday;1;3;10;2019;Standard Queen Room;461;166
Weekday;1;2;10;2019;Standard Queen Room;461;166
Weekday;1;1;10;2019;Standard Queen Room;461;166
Weekday;1;25;9;2019;Standard Queen Room;461;166
Weekday;1;23;9;2019;Standard Queen Room;461;166
Weekday;1;16;9;2019;Standard Queen Room;461;166
Weekday;1;14;9;2019;Standard Queen Room;461;166
Weekday;1;13;9;2019;Standard Queen Room;461;166
Weekday;1;12;9;2019;Standard Queen Room;461;166
Weekday;1;11;9;2019;Standard Queen Room;461;166
Weekday;1;10;9;2019;Standard Queen Room;461;166
Weekday;1;9;9;2019;Standard Queen Room;461;166
Weekday;1;6;9;2019;Standard Queen Room;461;166
Weekday;1;5;9;2019;Standard Queen Room;461;166
Weekday;1;4;9;2019;Standard Queen Room;461;166
Weekday;1;3;9;2019;Standard Queen Room;461;166
Weekday;1;2;9;2019;Standard Queen Room;461;166
Weekday;1;22;8;2019;Standard Queen Room;461;166
Weekday;1;21;8;2019;Standard Queen Room;461;166
Weekday;1;19;8;2019;Standard Queen Room;461;166
Weekday;1;16;8;2019;Standard Queen Room;461;166
Weekday;1;15;8;2019;Standard Queen Room;461;166
Weekday;1;13;8;2019;Standard Queen Room;461;166
Weekday;1;13;8;2019;Standard Queen Room;461;166
Weekday;1;12;8;2019;Standard Queen Room;461;166
Weekday;1;12;8;2019;Standard Queen Room;461;166
Weekday;1;12;8;2019;Standard Queen Room;461;166
Weekday;1;9;8;2019;Standard Queen Room;461;166
Weekday;1;8;8;2019;Standard Queen Room;461;166
Weekday;1;7;8;2019;Standard Queen Room;461;166
Weekday;1;6;8;2019;Standard Queen Room;461;166
Weekday;1;29;7;2019;Standard Queen Room;461;166
Weekday;1;25;7;2019;Standard Queen Room;461;166
Weekday;1;24;7;2019;Standard Queen Room;461;166
Weekday;1;23;7;2019;Standard Queen Room;461;166
Weekday;1;15;7;2019;Standard Queen Room;461;166
Weekday;1;8;7;2019;Standard Queen Room;461;166
Weekday;1;5;7;2019;Standard Queen Room;461;166
Weekday;1;4;7;2019;Standard Queen Room;461;166
Weekday;1;3;7;2019;Standard Queen Room;461;166
Weekday;1;3;7;2019;Standard Queen Room;461;166
Weekday;1;1;7;2019;Standard Queen Room;461;166
Weekday;1;14;6;2019;Standard Queen Room;461;166
Weekday;1;13;6;2019;Standard Queen Room;461;166
Weekday;1;12;6;2019;Standard Queen Room;461;166
Weekday;1;7;6;2019;Standard Queen Room;461;166
